session_id,user_id,timestamp,ip_address,mouse_movements,keyboard_inputs,time_on_page,js_enabled,is_bot
48,1,29-02-2024 04.13,101.96.50.59,83,92,25,1,1
49,3,24-04-2024 16.45,106.225.209.68,12,7,193,0,0
50,26,15-04-2024 05.38,65.202.151.142,71,10,140,1,0
51,11,31-03-2024 16.24,135.124.58.32,81,25,154,1,0
52,6,24-02-2024 14.00,22.157.115.160,47,38,124,1,1
53,35,29-07-2024 01.20,98.91.100.53,61,55,119,1,1
54,33,16-03-2024 10.33,196.3.244.172,30,9,152,1,0
55,30,05-01-2024 00.54,24.63.115.89,34,49,114,1,0
56,49,10-08-2024 00.37,63.141.210.234,42,31,77,1,0
57,34,28-08-2024 11.01,18.202.220.22,3,94,114,0,1
58,13,28-05-2024 14.05,222.113.181.167,10,24,49,0,0
59,5,06-05-2024 16.18,180.56.149.195,4,76,132,0,1
60,30,30-05-2024 16.48,8.115.60.154,77,75,95,0,0
61,18,26-02-2024 13.10,19.104.67.179,10,35,104,1,1
62,13,21-06-2024 21.45,71.197.215.12,47,70,102,0,1
63,21,10-04-2024 05.25,147.81.247.135,32,70,148,1,1
64,31,23-05-2024 04.39,39.108.73.204,75,58,105,0,1
65,25,10-02-2024 06.00,71.39.232.84,47,84,24,1,1
66,4,10-08-2024 14.02,140.154.211.61,43,89,121,0,0
67,25,19-05-2024 14.50,144.127.14.147,64,52,190,1,1
68,18,14-03-2024 08.43,122.127.5.177,9,26,171,0,0
69,26,17-04-2024 16.49,65.196.10.159,33,51,49,0,1
70,47,07-01-2024 13.04,110.17.255.19,26,72,82,0,0
71,18,14-07-2024 06.32,11.89.16.169,22,92,107,1,1
72,44,14-01-2024 11.20,96.16.25.114,35,85,198,1,1
73,35,24-05-2024 04.23,191.66.234.125,47,33,42,0,1
74,43,06-02-2024 16.16,106.56.181.53,60,41,166,0,1
75,23,16-05-2024 15.48,181.96.250.19,46,60,32,1,1
76,11,19-07-2024 16.23,217.57.176.199,97,77,148,1,0
77,43,07-05-2024 11.04,207.228.15.216,1,43,91,0,1
78,22,19-06-2024 17.38,206.160.223.209,41,40,135,1,1
79,26,12-06-2024 02.54,205.62.143.71,57,6,122,1,1
80,33,27-01-2024 18.45,219.140.170.168,8,60,193,0,0
81,28,08-08-2024 17.01,219.192.85.67,1,86,124,0,0
82,3,29-08-2024 23.30,160.103.184.43,39,99,118,0,1
83,32,18-04-2024 03.49,199.199.229.155,51,67,173,0,0
84,37,20-02-2024 19.32,88.107.7.238,8,63,81,0,0
85,11,08-08-2024 05.54,14.254.145.179,37,47,74,0,1
86,5,18-06-2024 13.37,17.112.102.171,54,28,144,1,1
87,11,01-06-2024 14.45,187.148.239.107,86,86,30,1,1
88,32,21-04-2024 04.08,29.142.177.162,18,34,88,0,0
89,42,19-02-2024 14.51,223.28.78.36,91,88,39,0,1
90,19,21-03-2024 04.20,181.214.185.126,6,11,156,0,0
91,41,13-05-2024 12.19,114.211.125.159,68,17,78,0,1
92,27,17-07-2024 14.25,47.7.53.96,40,13,14,0,0
93,12,03-05-2024 22.25,82.112.7.221,42,70,101,1,0
94,39,03-05-2024 01.13,72.135.69.1,99,79,16,1,0
95,40,23-04-2024 05.31,118.31.255.167,41,80,143,0,1
96,25,28-01-2024 07.17,82.66.1.56,30,38,23,0,0
97,8,17-07-2024 21.41,43.40.168.182,25,98,66,0,0
98,13,18-05-2024 13.47,73.202.183.147,39,86,42,0,1
99,26,02-02-2024 15.50,99.81.46.86,7,60,16,1,0
100,19,21-08-2024 06.19,166.6.180.252,93,56,108,1,0
101,8,27-02-2024 11.51,153.152.224.155,29,4,15,1,0
102,35,10-02-2024 15.27,55.114.153.46,12,57,110,0,0
103,41,04-07-2024 15.57,84.174.46.126,67,81,102,0,1
104,2,10-03-2024 23.40,12.37.152.82,46,91,62,0,0
105,33,17-05-2024 23.07,26.10.227.160,45,95,143,1,1
106,36,06-05-2024 06.47,26.251.51.232,9,31,126,1,1
107,21,24-06-2024 23.21,58.117.203.238,57,92,176,0,0
108,7,14-07-2024 06.13,209.219.214.16,25,50,194,1,0
109,12,25-03-2024 22.00,140.238.74.164,59,94,42,1,1
110,21,27-02-2024 08.10,173.215.224.230,80,3,183,0,1
111,42,22-01-2024 04.57,131.167.191.242,23,38,161,1,1
112,31,28-01-2024 15.40,91.211.220.249,78,71,36,1,0
113,49,24-01-2024 10.09,79.136.62.64,86,92,87,1,0
114,2,14-07-2024 23.38,83.227.100.90,74,91,126,0,1
115,18,24-03-2024 06.22,129.69.36.14,39,30,76,1,1
116,32,13-01-2024 01.56,117.215.182.171,72,78,187,1,0
117,29,01-08-2024 09.00,24.159.43.46,4,2,23,1,1
118,42,05-05-2024 07.01,98.98.202.78,67,53,127,1,1
119,29,31-07-2024 02.30,169.219.123.126,30,86,48,0,0
120,34,31-07-2024 17.24,187.12.122.19,70,86,112,0,1
121,35,15-02-2024 18.49,88.96.135.193,68,9,86,0,1
122,24,27-04-2024 08.49,84.106.14.34,16,82,144,0,0
123,39,21-08-2024 06.30,137.174.222.167,59,100,28,0,0
124,44,14-08-2024 16.04,190.94.23.124,14,80,128,0,0
125,20,07-03-2024 23.27,18.100.45.196,2,44,34,1,1
126,45,27-04-2024 14.19,17.67.17.179,82,46,38,1,0
127,1,01-02-2024 16.03,117.150.78.215,50,79,62,0,0
128,20,22-03-2024 17.39,126.175.193.71,38,57,38,1,1
129,11,08-05-2024 19.31,43.29.17.183,39,3,12,0,0
130,15,07-02-2024 06.38,58.25.197.167,35,28,184,1,1
131,18,09-07-2024 04.54,24.136.122.81,21,63,178,0,1
132,49,12-03-2024 01.13,109.100.179.115,12,38,145,0,1
133,32,24-05-2024 02.53,155.6.89.207,78,66,164,0,1
134,48,10-08-2024 13.37,131.201.175.233,8,100,35,0,0
135,43,07-05-2024 00.14,36.24.135.30,33,74,153,0,0
136,47,22-08-2024 09.35,218.207.70.101,24,63,121,0,1
137,24,21-01-2024 11.55,11.56.90.115,91,58,136,1,1
138,42,21-01-2024 10.45,111.210.214.177,37,42,123,1,1
139,23,19-04-2024 20.18,73.225.220.34,32,85,98,1,0
140,28,16-01-2024 15.54,188.196.20.1,93,64,141,1,1
141,1,03-04-2024 09.29,172.88.118.53,40,98,138,0,1
142,35,13-03-2024 21.36,71.196.228.82,37,83,99,0,1
143,16,04-06-2024 13.04,47.218.119.133,88,90,51,1,0
144,12,02-05-2024 05.40,158.113.14.52,66,99,28,1,1
145,4,08-01-2024 01.59,146.50.253.78,18,36,88,1,0
146,4,14-02-2024 19.23,69.19.101.6,75,41,145,0,1
147,47,08-02-2024 09.36,32.135.7.140,67,11,10,1,0
148,33,25-07-2024 06.41,142.176.205.105,3,68,187,0,1
149,22,19-06-2024 10.47,96.79.63.142,39,31,99,1,0
150,32,19-07-2024 15.11,66.189.199.226,42,58,148,1,1
151,16,13-04-2024 20.58,208.51.99.126,88,84,126,0,0
152,30,14-06-2024 03.51,134.142.78.214,55,9,195,1,0
153,20,23-04-2024 22.58,140.206.100.32,5,75,161,0,0
154,10,24-06-2024 12.01,158.116.78.135,16,93,194,0,1
155,11,15-05-2024 16.48,209.244.1.223,90,62,111,1,1
156,38,23-04-2024 02.30,54.162.215.165,90,42,121,1,0
157,36,31-03-2024 16.20,68.141.200.252,60,1,52,1,0
158,27,01-02-2024 03.01,222.175.48.244,40,49,17,1,0
159,41,02-05-2024 06.17,49.11.45.169,27,52,163,1,0
160,32,30-06-2024 15.06,187.58.55.22,31,87,90,0,0
161,15,29-07-2024 14.44,214.242.145.124,61,29,67,0,1
162,36,18-04-2024 10.58,104.235.31.228,16,98,176,1,0
163,25,04-02-2024 02.35,69.225.8.146,36,89,147,0,1
164,1,14-02-2024 16.05,137.246.40.74,58,53,10,1,0
165,45,08-01-2024 04.50,144.75.180.145,32,69,42,0,0
166,2,15-08-2024 22.54,114.97.33.30,84,38,100,1,0
167,47,10-05-2024 22.42,140.179.31.7,38,26,170,0,1
168,13,19-04-2024 13.48,57.29.74.240,52,10,105,1,0
169,41,11-05-2024 00.00,138.185.169.134,78,10,146,1,0
170,29,10-08-2024 23.53,182.150.5.130,13,22,163,1,0
171,4,20-03-2024 15.18,74.219.92.157,54,68,200,0,1
172,35,11-03-2024 08.12,82.195.200.202,65,86,126,0,0
173,35,13-07-2024 12.40,90.173.228.186,96,66,51,1,0
174,27,24-05-2024 21.02,92.186.70.123,22,5,67,1,1
175,6,08-04-2024 01.39,147.154.146.68,71,97,84,1,1
176,35,25-03-2024 14.00,160.153.198.153,56,48,143,1,0
177,16,06-08-2024 16.12,22.245.58.195,82,17,102,0,0
178,22,18-08-2024 11.59,122.32.190.16,77,80,70,1,1
179,45,27-02-2024 12.02,159.82.147.253,78,54,166,0,1
180,6,15-06-2024 06.21,137.141.186.34,56,93,147,1,1
181,31,19-03-2024 22.52,35.160.43.229,53,84,89,1,1
182,34,04-04-2024 03.21,116.48.211.52,36,64,178,0,0
183,23,10-06-2024 06.17,201.226.163.109,10,12,200,1,0
184,7,18-03-2024 02.01,69.87.191.92,32,39,133,0,1
185,38,06-01-2024 10.14,87.46.52.86,53,65,82,1,0
186,41,09-04-2024 16.46,26.140.8.249,8,31,124,1,1
187,29,29-07-2024 08.29,33.231.161.41,40,10,112,0,0
188,46,10-01-2024 12.25,137.54.54.157,77,99,182,1,1
189,34,26-01-2024 12.57,223.125.25.255,15,100,100,0,1
190,28,20-02-2024 06.40,41.209.182.146,63,41,173,1,0
191,13,27-06-2024 17.10,197.191.6.75,42,49,47,1,0
192,46,30-04-2024 17.04,87.173.80.153,88,80,111,0,0
193,48,11-08-2024 10.45,43.67.159.31,44,62,62,1,0
194,15,10-07-2024 19.01,51.66.120.190,32,4,37,0,1
195,20,15-07-2024 03.11,209.70.215.164,44,44,39,1,1
196,43,25-08-2024 02.12,12.114.159.179,6,35,55,1,0
197,36,21-06-2024 20.52,55.12.144.179,87,75,38,1,1
198,46,12-04-2024 15.04,182.207.105.20,97,34,119,0,1
199,4,30-06-2024 00.11,190.252.40.201,83,27,51,1,1
200,47,27-07-2024 17.24,50.229.46.191,82,51,119,1,0
201,40,07-07-2024 08.36,177.115.170.123,37,36,28,0,1
202,33,13-02-2024 15.46,73.103.199.137,72,99,65,0,0
203,49,06-08-2024 22.59,198.93.40.74,52,53,160,0,1
204,1,26-04-2024 04.31,14.139.203.225,97,59,80,0,1
205,37,12-04-2024 16.45,171.179.202.11,71,4,185,1,1
206,29,16-05-2024 02.48,5.14.29.228,41,44,85,1,1
207,33,18-04-2024 23.25,137.134.17.254,53,4,179,1,0
208,2,31-05-2024 07.42,77.55.156.222,86,61,149,1,1
209,9,07-03-2024 05.53,83.230.17.138,35,65,141,0,1
210,19,20-04-2024 14.05,222.65.134.37,73,70,45,0,1
211,3,04-05-2024 22.37,31.79.38.218,96,14,105,1,0
212,22,20-07-2024 16.32,137.112.7.48,43,26,46,0,1
213,13,05-02-2024 06.10,60.205.70.96,83,83,172,1,1
214,19,10-06-2024 23.49,48.147.135.128,17,13,178,0,1
215,47,26-07-2024 21.12,106.103.221.17,88,11,122,1,0
216,3,21-01-2024 19.33,65.138.254.15,40,55,27,0,0
217,5,22-06-2024 08.46,145.190.79.18,29,66,78,1,1
218,20,13-08-2024 01.10,215.108.158.225,64,19,153,1,0
219,3,10-06-2024 00.46,74.249.185.220,54,8,182,0,0
220,27,05-01-2024 00.13,54.72.52.102,12,7,73,1,1
221,12,24-03-2024 12.25,88.204.247.124,37,21,41,0,0
222,23,27-01-2024 02.50,17.96.22.253,44,85,135,1,0
223,8,15-06-2024 14.57,108.138.9.73,6,51,101,1,1
224,38,13-03-2024 09.29,169.10.68.205,53,96,73,1,0
225,36,03-05-2024 11.57,98.191.13.202,77,88,108,1,1
226,39,23-04-2024 15.24,142.8.89.206,5,33,198,1,1
227,31,25-01-2024 04.37,140.35.186.3,40,2,131,1,1
228,24,27-04-2024 00.24,162.189.24.50,46,79,45,0,1
229,36,15-03-2024 00.04,215.67.42.156,74,53,53,0,0
230,1,06-07-2024 17.42,31.139.180.156,55,74,68,0,0
231,9,19-05-2024 04.25,126.17.165.201,97,43,27,1,0
232,41,14-02-2024 02.33,122.208.118.236,83,66,82,1,0
233,29,09-08-2024 02.53,73.157.39.81,55,2,107,0,0
234,39,24-07-2024 21.02,209.205.63.79,90,5,79,0,0
235,22,01-06-2024 12.54,176.116.22.242,9,61,164,1,0
236,26,12-02-2024 14.44,73.199.65.88,21,32,140,1,1
237,26,30-07-2024 12.47,186.191.67.140,17,14,160,1,1
238,34,19-01-2024 05.12,130.151.184.139,9,53,113,0,1
239,38,23-04-2024 20.56,92.131.146.150,16,77,91,1,0
240,46,16-02-2024 03.54,171.157.143.148,69,43,142,1,1
241,30,26-07-2024 03.25,170.159.17.178,99,51,125,0,1
242,47,12-06-2024 01.46,107.87.234.170,92,70,162,1,1
243,17,12-04-2024 15.14,196.52.32.96,11,42,188,0,1
244,24,06-07-2024 05.36,13.36.85.201,57,23,140,0,1
245,35,21-02-2024 06.59,4.236.123.36,45,36,152,1,0
246,7,07-08-2024 17.07,57.182.251.101,83,87,21,1,0
247,45,19-03-2024 17.40,78.196.130.70,14,95,175,1,0
248,32,13-03-2024 05.04,172.71.123.237,94,6,28,1,0
249,4,22-03-2024 16.59,147.134.199.168,1,98,103,1,1
250,3,11-02-2024 10.21,57.147.243.158,98,55,70,1,0
251,9,11-03-2024 09.23,220.133.60.241,27,42,191,0,1
252,8,23-06-2024 10.09,145.95.163.78,77,26,76,1,1
253,26,25-05-2024 11.48,146.100.93.93,12,30,184,1,1
254,8,15-06-2024 08.15,129.67.127.224,25,95,163,0,1
255,33,03-06-2024 09.58,205.39.161.172,70,56,71,1,1
256,42,04-07-2024 07.06,87.94.194.199,33,40,33,1,1
257,50,06-01-2024 01.40,97.200.147.34,67,89,58,0,0
258,10,15-08-2024 21.44,146.147.209.172,20,2,132,0,1
259,24,31-07-2024 01.23,144.207.136.72,84,93,156,1,0
260,24,18-08-2024 13.42,75.147.195.157,42,66,110,1,0
261,50,10-01-2024 14.57,111.217.249.63,42,66,14,1,0
262,27,03-05-2024 02.25,141.173.128.206,46,89,47,0,0
263,23,17-02-2024 19.33,69.184.170.1,5,25,126,0,1
264,49,08-06-2024 21.23,61.27.203.167,46,13,31,1,1
265,25,23-04-2024 16.43,82.13.134.129,39,16,29,1,1
266,20,01-04-2024 18.29,53.110.131.30,67,40,86,1,1
267,31,31-03-2024 02.08,212.225.237.82,37,61,106,1,1
268,4,21-04-2024 06.30,175.67.218.32,31,53,75,0,0
269,19,22-07-2024 21.56,121.204.180.103,97,45,86,1,0
270,20,19-08-2024 21.10,63.193.197.222,69,48,138,0,1
271,28,27-07-2024 23.08,154.167.207.129,55,98,176,1,1
272,6,21-03-2024 10.20,126.186.176.87,62,27,192,1,1
273,7,23-01-2024 03.06,195.130.99.165,68,37,175,1,0
274,33,20-08-2024 10.16,121.153.80.245,28,42,150,0,1
275,28,07-02-2024 07.46,154.136.188.196,95,46,195,0,1
276,13,04-05-2024 03.56,194.172.91.235,32,85,99,1,0
277,20,15-01-2024 15.37,220.129.227.31,41,64,116,1,0
278,29,26-03-2024 16.31,168.130.229.65,88,31,195,1,1
279,13,30-03-2024 02.02,185.250.118.45,25,33,26,0,1
280,32,11-01-2024 00.09,19.125.126.59,68,93,140,1,0
281,41,19-05-2024 01.53,85.166.217.103,13,6,117,1,1
282,6,12-07-2024 14.38,193.21.232.112,79,47,49,1,0
283,5,18-03-2024 14.23,123.141.184.109,52,26,100,0,0
284,16,19-01-2024 03.01,86.9.219.23,42,61,89,0,0
285,48,30-05-2024 01.37,62.165.50.145,65,53,54,1,1
286,32,31-05-2024 02.07,190.214.197.176,66,12,67,1,0
287,7,01-02-2024 15.43,215.230.94.146,3,33,11,1,0
288,26,19-07-2024 13.48,217.55.148.210,26,85,85,0,1
289,21,27-05-2024 01.25,79.153.170.38,16,37,186,1,0
290,29,30-06-2024 03.34,154.166.42.144,18,50,46,0,1
291,27,21-04-2024 05.47,156.152.148.184,79,99,195,0,0
292,22,18-02-2024 06.16,142.165.181.157,92,83,96,1,0
293,35,04-03-2024 09.29,175.188.131.103,42,21,56,1,1
294,3,05-01-2024 22.35,93.48.117.102,19,22,97,0,0
295,5,09-05-2024 03.47,146.231.80.183,47,11,145,1,0
296,7,12-03-2024 14.07,157.243.151.144,70,15,148,1,0
297,9,03-08-2024 00.30,200.205.51.55,70,40,10,1,0
298,45,11-04-2024 12.19,19.207.7.184,87,95,22,0,0
299,8,28-07-2024 15.58,218.163.173.20,17,2,51,1,0
300,7,25-01-2024 06.54,2.237.0.68,17,81,85,1,1
301,12,03-07-2024 00.44,169.149.88.117,74,79,69,1,0
302,15,08-01-2024 01.27,145.142.103.203,11,37,165,0,1
303,48,17-08-2024 23.50,201.131.119.129,34,9,85,0,0
304,18,24-02-2024 02.56,102.249.93.246,22,36,51,0,0
305,12,05-04-2024 13.59,132.154.19.27,44,65,177,0,0
306,14,23-06-2024 05.14,99.68.201.251,22,67,66,1,0
307,7,03-05-2024 15.45,46.95.30.68,32,99,192,1,1
308,36,16-07-2024 11.41,211.99.249.191,30,93,161,1,1
309,41,16-02-2024 12.58,172.243.112.223,88,96,152,0,0
310,28,18-08-2024 05.58,159.147.132.34,33,76,43,1,0
311,26,05-05-2024 16.09,188.148.111.86,59,28,30,1,1
312,49,13-03-2024 18.26,142.160.43.2,37,80,12,1,0
313,48,05-02-2024 07.17,172.45.37.234,61,72,131,0,1
314,17,09-04-2024 04.20,136.151.88.147,10,79,171,0,0
315,20,28-03-2024 02.30,109.75.255.228,54,70,169,1,1
316,13,26-04-2024 07.34,189.59.19.92,64,61,94,0,1
317,19,10-04-2024 06.14,218.176.13.107,64,80,57,1,1
318,25,11-03-2024 04.50,118.230.126.162,62,20,90,0,0
319,8,15-01-2024 14.02,12.128.23.70,68,76,152,1,0
320,25,28-06-2024 14.18,146.178.49.53,50,47,41,0,1
321,26,30-06-2024 03.46,97.145.188.227,83,41,34,0,0
322,20,07-06-2024 02.57,97.81.171.125,45,71,192,0,0
323,44,27-05-2024 13.54,208.120.166.123,37,21,200,1,0
324,13,16-02-2024 09.23,52.153.173.22,95,67,79,0,0
325,2,22-08-2024 08.02,183.194.201.12,63,5,165,1,0
326,32,02-07-2024 11.37,158.106.176.72,29,23,163,0,0
327,19,21-03-2024 05.39,132.102.134.199,1,63,51,0,0
328,46,13-08-2024 16.41,126.235.16.82,86,67,197,1,1
329,5,24-07-2024 06.26,223.254.55.203,10,10,197,0,0
330,22,16-08-2024 16.56,56.99.137.178,86,5,139,1,0
331,37,27-05-2024 06.51,114.163.50.199,46,75,83,1,1
332,6,17-02-2024 17.41,112.6.167.10,14,12,148,1,0
333,13,30-04-2024 10.18,91.248.116.195,41,48,36,0,1
334,33,04-04-2024 19.10,206.130.105.204,82,24,74,0,0
335,7,11-01-2024 18.45,16.229.107.128,66,32,135,0,1
336,17,11-06-2024 01.00,133.145.25.57,50,31,82,1,0
337,47,22-03-2024 21.01,96.133.175.48,93,43,188,0,1
338,35,21-05-2024 16.04,62.209.40.67,11,46,89,1,0
339,14,27-04-2024 18.05,179.110.91.175,87,56,18,1,0
340,4,09-06-2024 15.36,53.248.182.177,43,89,98,0,1
341,35,06-03-2024 03.59,105.164.25.168,30,89,34,1,1
342,4,14-04-2024 11.37,7.127.105.68,3,23,114,1,1
343,3,17-07-2024 12.42,149.78.23.204,78,81,150,1,0
344,17,22-01-2024 07.33,51.134.122.28,99,9,126,1,1
345,33,04-07-2024 17.52,12.130.48.209,46,8,100,0,1
346,43,09-06-2024 02.16,146.194.115.218,77,25,184,1,1
347,34,05-05-2024 17.20,109.247.212.188,53,95,179,0,1
348,2,23-04-2024 14.18,102.187.28.239,14,1,19,1,0
349,8,12-04-2024 12.42,112.84.231.70,5,3,98,0,1
350,25,12-02-2024 05.25,91.184.109.78,29,36,177,1,0
351,5,14-08-2024 18.22,148.77.177.69,29,7,12,0,0
352,13,21-01-2024 14.33,223.120.195.230,95,57,66,1,0
353,48,04-02-2024 05.41,116.111.7.251,86,13,79,0,0
354,2,19-03-2024 10.19,8.133.16.161,79,73,101,0,1
355,6,16-06-2024 17.27,46.103.53.148,31,69,37,0,1
356,32,22-06-2024 06.09,159.156.138.51,55,57,83,0,1
357,20,09-05-2024 10.52,106.208.74.148,37,57,129,1,0
358,22,30-05-2024 20.05,70.244.135.7,55,25,92,0,1
359,49,22-07-2024 10.19,197.146.116.54,67,100,177,1,1
360,32,23-07-2024 21.47,202.127.71.35,64,4,126,1,0
361,25,17-07-2024 08.09,222.98.250.208,16,64,153,0,1
362,15,19-04-2024 03.22,4.221.125.153,32,2,175,0,1
363,27,06-07-2024 03.50,118.85.199.61,12,45,67,1,0
364,13,23-05-2024 02.30,133.59.112.29,62,38,68,1,1
365,47,25-08-2024 11.40,31.116.204.13,95,46,36,0,1
366,16,25-03-2024 17.12,180.148.255.129,80,8,52,1,1
367,18,13-01-2024 23.40,84.15.212.108,100,98,101,0,0
368,9,03-05-2024 21.28,14.109.55.234,32,86,72,0,0
369,3,08-04-2024 19.59,56.132.2.74,66,89,87,1,1
370,44,25-08-2024 23.38,25.1.175.71,50,37,112,0,0
371,47,12-05-2024 22.50,45.106.180.37,42,24,186,0,1
372,16,19-04-2024 16.10,142.145.65.235,21,82,61,0,1
373,32,31-05-2024 23.23,181.150.245.146,78,89,182,1,1
374,28,15-05-2024 04.04,128.136.130.33,20,63,49,1,1
375,47,19-02-2024 21.43,213.254.144.145,47,3,61,0,1
376,1,06-02-2024 02.48,34.238.32.21,11,33,103,1,0
377,38,07-01-2024 06.27,199.12.93.132,63,60,53,1,0
378,34,28-04-2024 00.02,32.230.230.152,1,17,160,1,0
379,22,22-05-2024 12.56,213.13.133.204,53,39,105,0,1
380,45,19-01-2024 03.57,129.224.208.65,27,78,179,0,1
381,25,08-02-2024 10.16,96.210.175.178,26,56,148,1,1
382,30,09-07-2024 12.06,70.123.71.18,59,83,120,1,1
383,13,30-08-2024 14.03,68.74.164.37,91,37,120,1,0
384,41,11-04-2024 18.50,174.171.66.184,55,42,69,1,1
385,3,05-05-2024 20.43,16.250.70.135,6,3,13,0,0
386,50,12-08-2024 19.21,56.251.110.209,45,66,133,1,0
387,30,19-02-2024 13.27,152.121.35.52,38,25,106,0,1
388,19,02-01-2024 19.43,146.239.79.42,61,100,99,1,1
389,47,05-08-2024 18.11,36.124.113.110,89,63,124,0,1
390,19,03-08-2024 20.20,139.239.230.25,68,11,78,1,1
391,10,19-05-2024 12.13,159.239.200.75,16,64,103,1,1
392,13,12-01-2024 19.23,44.115.141.121,92,16,109,1,0
393,18,01-02-2024 07.10,164.186.166.116,46,71,10,1,1
394,34,05-04-2024 16.36,194.159.111.110,21,79,114,0,1
395,30,20-08-2024 20.07,43.174.223.56,17,14,54,1,0
396,16,04-05-2024 23.39,26.145.216.216,47,42,79,0,1
397,5,30-07-2024 21.02,88.137.168.226,98,15,15,1,0
398,14,19-04-2024 08.11,19.211.246.166,48,85,20,0,0
399,38,18-04-2024 01.28,167.78.80.227,62,84,98,1,1
400,14,26-07-2024 20.54,43.61.106.108,66,25,75,0,0
401,11,27-05-2024 13.07,73.45.11.216,93,55,44,0,0
402,7,17-04-2024 17.12,129.60.73.13,51,15,51,1,1
403,23,27-02-2024 11.28,157.54.75.214,31,35,85,0,0
404,44,04-07-2024 09.48,117.19.74.136,43,39,168,0,0
405,30,24-03-2024 07.53,82.1.77.78,79,84,78,1,1
406,9,18-05-2024 07.27,98.182.66.136,42,53,24,0,0
407,10,24-01-2024 18.37,219.224.244.105,85,33,10,1,0
408,25,25-03-2024 01.20,190.21.107.188,90,35,85,1,0
409,19,21-01-2024 18.03,2.169.177.196,85,67,108,0,1
410,14,08-06-2024 16.26,101.124.238.83,23,82,83,1,0
411,11,28-02-2024 12.02,56.7.157.251,67,15,97,0,1
412,3,18-03-2024 09.18,200.157.131.156,72,67,106,0,1
413,13,06-07-2024 13.07,70.121.112.60,37,7,157,1,1
414,11,05-06-2024 10.08,38.90.109.36,39,80,154,0,1
415,41,10-06-2024 07.32,220.106.31.70,61,17,153,0,0
416,5,26-04-2024 09.55,172.231.101.225,15,70,144,1,1
417,45,25-04-2024 20.33,82.103.192.213,45,62,195,1,1
418,50,15-01-2024 16.22,64.46.229.181,95,66,168,0,1
419,49,05-07-2024 11.44,79.185.184.22,17,7,65,1,1
420,6,08-04-2024 06.08,71.164.92.207,68,85,95,0,1
421,12,21-03-2024 08.03,154.231.222.238,40,19,37,0,1
